Date,Stock_Ticker,Market_Cap,HA_Close,HA_Open,EMA_89_HA_Close,Breakout_Strength_Percent,Signal_High,Signal_Close,Regular_Close
2020-12-01,SAIL,Small Cap,52.06,32.64,46.76,11.33,63.41,62.9,62.9
2020-12-01,INDHOTEL,Small Cap,117.82,96.83,106.42,10.71,133.24,114.92,114.92
2020-12-01,JSWENERGY,Small Cap,64.32,56.84,62.11,3.55,71.19,65.76,65.76
2020-12-01,NMDC,Small Cap,19.38,15.9,16.85,15.02,21.88,20.73,20.73
2020-11-01,CYIENT,Small Cap,402.18,339.24,384.44,4.62,460.57,439.16,439.16
2020-11-01,PFC,Small Cap,55.32,49.47,52.17,6.04,62.14,60.85,60.85
2020-11-01,ASHOKLEY,Small Cap,41.3,33.44,36.97,11.69,46.38,43.7,43.7
2020-11-01,AXISBANK,Small Cap,556.07,458.17,520.82,6.77,637.34,599.1,599.1
2020-11-01,HFCL,Small Cap,17.91,15.63,17.36,3.17,19.61,18.27,18.27
2020-11-01,RECLTD,Small Cap,56.24,50.89,52.35,7.43,61.69,60.62,60.62
2020-11-01,TATASTEEL,Small Cap,42.36,32.84,34.98,21.13,50.13,49.7,49.7
2020-11-01,DLF,Small Cap,170.16,150.75,163.32,4.19,193.91,180.73,180.73
2020-10-01,GRASIM,Mid Cap,749.06,650.69,709.47,5.58,785.96,760.89,760.89
2020-09-01,LUPIN,Small Cap,967.3,873.49,946.55,2.19,1092.79,980.91,980.91
2020-09-01,OBEROIRLTY,Small Cap,388.71,364.0,382.84,1.53,434.77,386.88,386.88
2020-09-01,BHARATFORG,Small Cap,454.03,379.24,429.05,5.82,495.35,432.4,432.4
2020-08-01,JINDALSTEL,Small Cap,200.41,146.93,175.75,14.03,235.42,202.24,202.24
2020-08-01,BLUESTARCO,Small Cap,281.38,248.15,262.59,7.16,350.67,308.08,308.08
2020-08-01,NHPC,Small Cap,17.22,16.19,16.23,6.12,19.55,17.27,17.27
2020-08-01,M&M,Small Cap,586.64,473.5,569.57,3.0,618.76,578.98,578.98
2020-08-01,HINDALCO,Small Cap,170.97,142.03,165.9,3.06,195.05,177.87,177.87
2020-08-01,BEL,Small Cap,31.47,25.82,28.98,8.58,35.87,32.13,32.13
2020-08-01,AMBUJACEM,Small Cap,195.98,176.15,188.54,3.95,209.04,189.84,189.84
2020-08-01,PRESTIGE,Small Cap,227.79,194.31,224.36,1.53,280.5,245.1,245.1
2020-08-01,CHOLAFIN,Small Cap,219.66,186.04,201.25,9.15,255.8,229.33,229.33
2020-07-01,EICHERMOT,Small Cap,1879.96,1563.72,1797.26,4.6,2071.26,1967.7,1967.7
2020-07-01,OFSS,Small Cap,2313.22,1945.57,2268.81,1.96,2541.47,2318.82,2318.82
2020-07-01,HINDZINC,Small Cap,121.78,104.22,114.14,6.7,130.71,127.17,127.17
2020-07-01,HEROMOTOCO,Small Cap,2243.1,1906.0,2142.22,4.71,2431.55,2255.27,2255.27
2020-07-01,JSWSTEEL,Mid Cap,192.27,176.26,190.06,1.16,207.9,206.31,206.31
2020-06-01,WIPRO,Small Cap,103.01,95.77,101.06,1.93,108.75,103.85,103.85
2020-06-01,UPL,Small Cap,400.08,385.21,391.67,2.15,441.34,399.27,399.27
2020-06-01,ADANIPORTS,Mid Cap,329.0,290.16,302.21,8.86,349.46,333.83,333.83
2020-05-01,ZYDUSLIFE,Small Cap,322.99,271.89,296.79,8.83,340.46,332.36,332.36
2020-05-01,CIPLA,Mid Cap,592.18,454.34,500.72,18.27,628.25,625.55,625.55
2020-05-01,AUROPHARMA,Small Cap,658.31,473.92,550.63,19.55,725.12,720.58,720.58
2020-01-01,MOTHERSON,Small Cap,36.45,33.29,35.96,1.37,39.12,34.64,34.64
2019-12-01,LTF,Small Cap,102.69,88.01,96.38,6.54,105.52,102.92,102.92
2019-12-01,TATASTEEL,Small Cap,36.97,32.88,35.96,2.81,39.97,39.61,39.61
2019-12-01,BHARATFORG,Small Cap,452.86,427.47,442.56,2.33,485.75,464.73,464.73
2019-11-01,DLF,Small Cap,194.15,159.27,162.41,19.55,216.53,209.93,209.93
2019-11-01,GRASIM,Mid Cap,751.42,724.34,730.58,2.85,801.95,764.83,764.83
2019-11-01,MFSL,Small Cap,459.17,419.74,428.75,7.1,521.1,504.9,504.9
2019-11-01,JSWENERGY,Small Cap,68.73,62.56,65.46,5.0,75.89,69.53,69.53
2019-10-01,GMRAIRPORT,Small Cap,17.03,14.16,16.04,6.14,19.46,18.69,18.69
2019-10-01,PERSISTENT,Small Cap,280.84,266.61,277.88,1.07,300.07,292.8,292.8
2019-10-01,EICHERMOT,Small Cap,1910.13,1648.32,1811.39,5.45,2145.39,2131.95,2131.95
2019-05-01,BHARTIARTL,Large Cap,319.68,292.13,309.95,3.14,340.31,333.42,333.42
2019-05-01,COALINDIA,Mid Cap,143.06,135.41,140.64,1.72,150.75,145.33,145.33
2019-04-01,ONGC,Mid Cap,114.16,102.19,112.11,1.83,119.47,118.11,118.11
2019-04-01,MFSL,Small Cap,435.44,416.86,428.87,1.53,474.5,417.65,417.65
2019-04-01,NMDC,Small Cap,17.53,16.22,16.92,3.56,18.37,17.01,17.01
2019-04-01,JSWENERGY,Small Cap,67.4,63.28,65.6,2.75,72.15,65.28,65.28
2019-03-01,NTPC,Small Cap,99.48,89.77,91.44,8.79,110.18,104.52,104.52
2019-03-01,GMRAIRPORT,Small Cap,16.59,14.2,16.29,1.85,19.23,17.84,17.84
2019-03-01,SIEMENS,Small Cap,602.85,568.7,581.42,3.69,644.97,640.31,640.31
2019-03-01,YESBANK,Small Cap,251.59,201.04,209.33,20.19,277.69,271.38,271.38
2019-03-01,AMBUJACEM,Small Cap,200.93,188.76,192.67,4.29,212.94,210.31,210.31
2019-03-01,DLF,Small Cap,174.82,159.64,160.62,8.84,195.03,191.3,191.3
2019-01-01,RECLTD,Small Cap,52.78,47.29,48.15,9.62,55.46,53.34,53.34
2018-12-01,LICHSGFIN,Small Cap,407.71,391.72,393.06,3.73,436.56,427.77,427.77
2018-12-01,MFSL,Small Cap,437.5,418.66,429.83,1.78,453.95,446.0,446.0
2018-11-01,DRREDDY,Small Cap,497.15,466.83,490.9,1.27,522.59,520.23,520.23
2018-11-01,CUMMINSIND,Small Cap,685.63,623.25,646.9,5.99,725.02,709.11,709.11
2018-09-01,SUNPHARMA,Small Cap,600.3,535.73,575.81,4.25,633.24,580.99,580.99
2018-09-01,APOLLOHOSP,Small Cap,1082.15,1023.91,1070.48,1.09,1173.23,1017.9,1017.9
2018-08-01,RECLTD,Small Cap,49.13,47.63,48.18,1.97,51.16,50.45,50.45
2018-08-01,GMRAIRPORT,Small Cap,17.46,15.63,16.52,5.64,19.14,19.01,19.01
