Date,Stock_Ticker,Market_Cap,HA_Close,EMA_89
2023-06-01,TCS,Large Cap,3144.76,2364.35
2023-06-01,KOTAKBANK,Large Cap,1896.42,1465.53
2023-06-01,LT,Large Cap,2284.03,1405.67
2023-06-01,GRASIM,Mid Cap,1707.27,1143.88
2023-06-01,TITAN,Large Cap,2910.59,1537.36
2023-06-01,ULTRACEMCO,Large Cap,7967.02,5180.24
2023-06-01,SBIN,Large Cap,554.96,352.81
2023-06-01,ASIANPAINT,Large Cap,3205.52,2082.27
2023-06-01,SUNPHARMA,Large Cap,993.58,677.28
2023-06-01,INFY,Large Cap,1231.3,983.8
2023-06-01,WIPRO,Large Cap,189.64,167.97
2023-06-01,MARUTI,Large Cap,9272.58,6712.57
2023-06-01,HDFCBANK,Large Cap,797.27,563.24
2023-06-01,HINDUNILVR,Large Cap,2562.82,1828.65
2023-06-01,CIPLA,Mid Cap,960.0,739.77
2023-05-01,BHARTIARTL,Large Cap,812.75,521.86
2023-05-01,NESTLEIND,Large Cap,1051.72,683.43
2023-05-01,TITAN,Large Cap,2709.22,1505.06
2023-05-01,POWERGRID,Large Cap,162.33,100.14
2023-05-01,HDFCBANK,Large Cap,790.75,557.74
2023-05-01,GRASIM,Mid Cap,1694.57,1130.63
2023-05-01,NTPC,Large Cap,163.46,109.2
2023-05-01,LT,Large Cap,2229.64,1385.01
2023-05-01,ITC,Large Cap,399.77,217.04
2023-05-01,MARUTI,Large Cap,8746.73,6652.37
2023-05-01,TCS,Large Cap,3130.77,2346.0
2023-05-01,KOTAKBANK,Large Cap,1970.64,1455.4
2023-05-01,INFY,Large Cap,1204.05,977.98
2023-05-01,SBIN,Large Cap,548.03,348.06
2023-05-01,ULTRACEMCO,Large Cap,7579.33,5114.7
2023-05-01,JSWSTEEL,Mid Cap,701.9,415.43
2023-05-01,RELIANCE,Large Cap,1123.11,782.27
2023-05-01,ADANIPORTS,Mid Cap,704.39,510.23
2023-05-01,AXISBANK,Large Cap,889.84,646.8
2023-05-01,CIPLA,Mid Cap,907.63,734.59
2023-05-01,SUNPHARMA,Large Cap,947.82,669.84
2023-05-01,TATAMOTORS,Mid Cap,498.33,333.62
2023-05-01,WIPRO,Large Cap,188.75,167.46
2023-05-01,ASIANPAINT,Large Cap,2964.95,2055.86
2023-05-01,HINDUNILVR,Large Cap,2455.41,1811.38
2023-04-01,MARUTI,Large Cap,8308.35,6603.08
2023-04-01,WIPRO,Large Cap,179.07,166.96
2023-04-01,SUNPHARMA,Large Cap,966.75,663.3
2023-04-01,TCS,Large Cap,3066.85,2327.53
2023-04-01,ITC,Large Cap,372.55,212.74
2023-04-01,POWERGRID,Large Cap,158.48,98.67
2023-04-01,JSWSTEEL,Mid Cap,696.38,408.69
2023-04-01,HINDUNILVR,Large Cap,2402.73,1796.22
2023-04-01,ULTRACEMCO,Large Cap,7461.43,5056.69
2023-04-01,TITAN,Large Cap,2565.58,1476.72
2023-04-01,SBIN,Large Cap,520.78,343.35
2023-04-01,RELIANCE,Large Cap,1084.07,774.25
2023-04-01,GRASIM,Mid Cap,1648.3,1117.36
2023-04-01,HDFCBANK,Large Cap,789.28,552.25
2023-04-01,ASIANPAINT,Large Cap,2739.15,2034.46
2023-04-01,ADANIPORTS,Mid Cap,645.94,505.66
2023-04-01,NTPC,Large Cap,162.61,107.93
2023-04-01,INFY,Large Cap,1242.73,972.66
2023-04-01,AXISBANK,Large Cap,863.65,641.07
2023-04-01,BHARTIARTL,Large Cap,762.88,515.01
2023-04-01,CIPLA,Mid Cap,885.04,730.52
2023-04-01,TATAMOTORS,Mid Cap,447.22,329.75
2023-04-01,LT,Large Cap,2208.57,1365.13
2023-04-01,NESTLEIND,Large Cap,995.37,674.76
2023-04-01,KOTAKBANK,Large Cap,1831.5,1443.27
2023-03-01,LT,Large Cap,2097.04,1345.27
2023-03-01,HINDUNILVR,Large Cap,2389.55,1781.94
2023-03-01,TITAN,Large Cap,2412.62,1451.07
2023-03-01,ASIANPAINT,Large Cap,2733.25,2017.86
2023-03-01,ITC,Large Cap,350.59,208.97
2023-03-01,INFY,Large Cap,1359.15,966.29
2023-03-01,ADANIPORTS,Mid Cap,621.14,502.36
2023-03-01,NESTLEIND,Large Cap,914.51,667.21
2023-03-01,NTPC,Large Cap,163.55,106.64
2023-03-01,HDFCBANK,Large Cap,763.24,546.67
2023-03-01,POWERGRID,Large Cap,153.17,97.26
2023-03-01,ULTRACEMCO,Large Cap,7248.37,5000.05
2023-03-01,WIPRO,Large Cap,180.52,166.68
2023-03-01,TATAMOTORS,Mid Cap,415.03,326.98
2023-03-01,SUNPHARMA,Large Cap,948.39,656.15
